crim;zn;indus;chas;nox;rm;age;dis;rad;tax;ptratio;b;lstat;medv
6911;45;344;0;437;6739;308;64798;5;398;152;38971;469;305
8664;45;344;0;437;7178;263;64798;5;398;152;39049;287;364
2187;60;293;0;401;68;99;62196;1;265;156;39337;503;311
1439;60;293;0;401;6604;188;62196;1;265;156;3767;438;291
1381;80;46;0;422;7875;32;56484;4;255;144;39423;297;50
4011;80;152;0;404;7287;341;7309;2;329;126;3969;408;333
4666;80;152;0;404;7107;366;7309;2;329;126;35431;861;303
3768;80;152;0;404;7274;383;7309;2;329;126;3922;662;346
315;95;147;0;403;6975;153;76534;3;402;17;3969;456;349
1778;95;147;0;403;7135;139;76534;3;402;17;3843;445;329
3445;825;203;0;415;6162;384;627;2;348;147;39377;743;241
2177;825;203;0;415;761;157;627;2;348;147;39538;311;423
351;95;268;0;4161;7853;332;5118;4;224;147;39278;381;485
2009;95;268;0;4161;8034;319;5118;4;224;147;39055;288;50
13642;0;1059;0;489;5891;223;39454;4;277;186;3969;1087;226
22969;0;1059;0;489;6326;525;43549;4;277;186;39487;1097;244
25199;0;1059;0;489;5783;727;43549;4;277;186;38943;1806;225
13587;0;1059;1;489;6064;591;42392;4;277;186;38132;1466;244
43571;0;1059;1;489;5344;100;3875;4;277;186;3969;2309;20
17446;0;1059;1;489;596;921;38771;4;277;186;39325;1727;217
37578;0;1059;1;489;5404;886;3665;4;277;186;39524;2398;193
21719;0;1059;1;489;5807;538;36526;4;277;186;39094;1603;224
14052;0;1059;0;489;6375;323;39454;4;277;186;38581;938;281
28955;0;1059;0;489;5412;98;35875;4;277;186;34893;2955;237
19802;0;1059;0;489;6182;424;39454;4;277;186;39363;947;25
456;0;1389;1;55;5888;56;31121;5;276;164;3928;1351;233
7013;0;1389;0;55;6642;851;34211;5;276;164;39278;969;287
11069;0;1389;1;55;5951;938;28893;5;276;164;3969;1792;215
11425;0;1389;1;55;6373;924;33633;5;276;164;39374;105;23
35809;0;62;1;507;6951;885;28617;8;307;174;3917;971;267
40771;0;62;1;507;6164;913;3048;8;307;174;39524;2146;217
62356;0;62;1;507;6879;777;32721;8;307;174;39039;993;275
6147;0;62;0;507;6618;808;32721;8;307;174;3969;76;301
31533;0;62;0;504;8266;783;28944;8;307;174;38505;414;448
52693;0;62;0;504;8725;83;28944;8;307;174;382;463;50
38214;0;62;0;504;804;865;32157;8;307;174;38738;313;376
41238;0;62;0;504;7163;799;32157;8;307;174;37208;636;316
29819;0;62;0;504;7686;17;33751;8;307;174;37751;392;467
44178;0;62;0;504;6552;214;33751;8;307;174;38034;376;315
537;0;62;0;504;5981;681;36715;8;307;174;37835;1165;243
46296;0;62;0;504;7412;769;36715;8;307;174;37614;525;317
57529;0;62;0;507;8337;733;38384;8;307;174;38591;247;417
33147;0;62;0;507;8247;704;36519;8;307;174;37895;395;483
44791;0;62;1;507;6726;665;36519;8;307;174;3602;805;29
33045;0;62;0;507;6086;615;36519;8;307;174;37675;1088;24
52058;0;62;1;507;6631;765;4148;8;307;174;38845;954;251
51183;0;62;0;507;7358;716;4148;8;307;174;39007;473;315
8244;30;493;0;428;6481;185;61899;6;300;166;37941;636;237
9252;30;493;0;428;6606;422;61899;6;300;166;38378;737;233
11329;30;493;0;428;6897;543;63361;6;300;166;39125;1138;22
10612;30;493;0;428;6095;651;63361;6;300;166;39462;124;201
1029;30;493;0;428;6358;529;70355;6;300;166;37275;1122;222
12757;30;493;0;428;6393;78;70355;6;300;166;37471;519;237
20608;22;586;0;431;5593;765;79549;7;330;191;37249;125;176
19133;22;586;0;431;5605;702;79549;7;330;191;38913;1846;185
33983;22;586;0;431;6108;349;80555;7;330;191;39018;916;243
19657;22;586;0;431;6226;792;80555;7;330;191;37614;1015;205
16439;22;586;0;431;6433;491;78265;7;330;191;37471;952;245
19073;22;586;0;431;6718;175;78265;7;330;191;39374;656;262
1403;22;586;0;431;6487;13;73967;7;330;191;39628;59;244
21409;22;586;0;431;6438;89;73967;7;330;191;37707;359;248
8221;22;586;0;431;6957;68;89067;7;330;191;38609;353;296
36894;22;586;0;431;8259;84;89067;7;330;191;3969;354;428
4819;80;364;0;392;6108;32;92203;1;315;164;39289;657;219
3548;80;364;0;392;5876;191;92203;1;315;164;39518;925;209
1538;90;375;0;394;7454;342;63361;3;244;159;38634;311;44
61154;20;397;0;647;8704;869;1801;5;264;13;3897;512;50
66351;20;397;0;647;7333;100;18946;5;264;13;38329;779;36
65665;20;397;0;647;6842;100;20107;5;264;13;39193;69;301
54011;20;397;0;647;7203;818;21121;5;264;13;3928;959;338
53412;20;397;0;647;752;894;21398;5;264;13;38837;726;431
52014;20;397;0;647;8398;915;22885;5;264;13;38686;591;488
82526;20;397;0;647;7327;945;20788;5;264;13;39342;1125;31
55007;20;397;0;647;7206;916;19301;5;264;13;38789;81;365
76162;20;397;0;647;556;628;19865;5;264;13;3924;1045;228
7857;20;397;0;647;7014;846;21329;5;264;13;38407;1479;307
57834;20;397;0;575;8297;67;24216;5;264;13;38454;744;50
5405;20;397;0;575;747;526;2872;5;264;13;3903;316;435
9065;20;696;1;464;592;615;39175;3;223;186;39134;1365;207
29916;20;696;0;464;5856;421;4429;3;223;186;38865;13;211
16211;20;696;0;464;624;163;4429;3;223;186;3969;659;252
1146;20;696;0;464;6538;587;39175;3;223;186;39496;773;244
22188;20;696;1;464;7691;518;43665;3;223;186;39077;658;352
5644;40;641;1;447;6758;329;40776;4;254;176;3969;353;324
9604;40;641;0;447;6854;428;42673;4;254;176;3969;298;32
10469;40;641;1;447;7267;49;47872;4;254;176;38925;605;332
6127;40;641;1;447;6826;276;48628;4;254;176;39345;416;331
7978;40;641;0;447;6482;321;41403;4;254;176;3969;719;291
21038;20;333;0;4429;6812;322;41007;5;216;149;3969;485;351
3578;20;333;0;4429;782;645;46947;5;216;149;38731;376;454
3705;20;333;0;4429;6968;372;52447;5;216;149;39223;459;354
6129;20;333;1;4429;7645;497;52119;5;216;149;37707;301;46
1501;90;121;1;401;7923;248;5885;1;198;136;39552;316;50
906;90;297;0;4;7088;208;73073;1;285;153;39472;785;322
1096;55;225;0;389;6453;319;73073;1;300;153;39472;823;22
1965;80;176;0;385;623;315;90892;1;241;182;3416;1293;201
3871;525;532;0;405;6209;313;73172;6;293;166;3969;714;232
459;525;532;0;405;6315;456;73172;6;293;166;3969;76;223
4297;525;532;0;405;6565;229;73172;6;293;166;37172;951;248
3502;80;495;0;411;6861;279;51167;4;245;192;3969;333;285
7886;80;495;0;411;7148;277;51167;4;245;192;3969;356;373
3615;80;495;0;411;663;234;51167;4;245;192;3969;47;279
8265;0;1392;0;437;6127;184;55027;4;289;16;3969;858;239
8199;0;1392;0;437;6009;423;55027;4;289;16;3969;104;217
12932;0;1392;0;437;6678;311;59604;4;289;16;3969;627;286
5372;0;1392;0;437;6549;51;59604;4;289;16;39285;739;271
14103;0;1392;0;437;579;58;632;4;289;16;3969;1584;203
6466;70;224;0;4;6345;201;78278;5;358;148;36824;497;225
5561;70;224;0;4;7041;10;78278;5;358;148;37158;474;29
4417;70;224;0;4;6871;474;78278;5;358;148;39086;607;248
3537;34;609;0;433;659;404;54917;7;329;161;39575;95;22
9266;34;609;0;433;6495;184;54917;7;329;161;38361;867;264
1;34;609;0;433;6982;177;54917;7;329;161;39043;486;331
5515;33;218;0;472;7236;411;4022;7;222;184;39368;693;361
5479;33;218;0;472;6616;581;337;7;222;184;39336;893;284
7503;33;218;0;472;742;719;30992;7;222;184;3969;647;334
4932;33;218;0;472;6849;703;31827;7;222;184;3969;753;282
49298;0;99;0;544;6635;825;33175;4;304;184;3969;454;228
3494;0;99;0;544;5972;767;31025;4;304;184;39624;997;203
263548;0;99;0;544;4973;378;25194;4;304;184;35045;1264;161
79041;0;99;0;544;6122;528;26403;4;304;184;3969;598;221
26169;0;99;0;544;6023;904;2834;4;304;184;3963;1172;194
26938;0;99;0;544;6266;828;32628;4;304;184;39339;79;216
3692;0;99;0;544;6567;873;36023;4;304;184;39569;928;238
25356;0;99;0;544;5705;777;3945;4;304;184;39642;115;162
31827;0;99;0;544;5914;832;39986;4;304;184;3907;1833;178
24522;0;99;0;544;5782;717;40317;4;304;184;3969;1594;198
40202;0;99;0;544;6382;672;35325;4;304;184;39521;1036;231
47547;0;99;0;544;6113;588;40019;4;304;184;39623;1273;21
1676;0;738;0;493;6426;523;45404;5;287;196;3969;72;238
18159;0;738;0;493;6376;543;45404;5;287;196;3969;687;231
35114;0;738;0;493;6041;499;47211;5;287;196;3969;77;204
28392;0;738;0;493;5708;743;47211;5;287;196;39113;1174;185
34109;0;738;0;493;6415;401;47211;5;287;196;3969;612;25
19186;0;738;0;493;6431;147;54159;5;287;196;39368;508;246
30347;0;738;0;493;6312;289;54159;5;287;196;3969;615;23
24103;0;738;0;493;6083;437;54159;5;287;196;3969;1279;222
6617;0;324;0;46;5868;258;52146;4;430;169;38244;997;193
6724;0;324;0;46;6333;172;52146;4;430;169;37521;734;226
4544;0;324;0;46;6144;322;58736;4;430;169;36857;909;198
5023;35;606;0;4379;5706;284;66407;1;304;169;39402;1243;171
3466;35;606;0;4379;6031;233;66407;1;304;169;36225;783;194
5083;0;519;0;515;6316;381;64584;5;224;202;38971;568;222
3738;0;519;0;515;631;385;64584;5;224;202;3894;675;207
3961;0;519;0;515;6037;345;59853;5;224;202;3969;801;211
3427;0;519;0;515;5869;463;52311;5;224;202;3969;98;195
3041;0;519;0;515;5895;596;5615;5;224;202;39481;1056;185
3306;0;519;0;515;6059;373;48122;5;224;202;39614;851;206
5497;0;519;0;515;5985;454;48122;5;224;202;3969;974;19
6151;0;519;0;515;5968;585;48122;5;224;202;3969;929;187
1301;35;152;0;442;7241;493;70379;1;284;155;39474;549;327
2498;0;189;0;518;654;597;62669;1;422;159;38996;865;165
2543;55;378;0;484;6696;564;57321;5;370;176;3969;718;239
3049;55;378;0;484;6874;281;64654;5;370;176;38797;461;312
3113;0;439;0;442;6014;485;80136;3;352;188;38564;1053;175
6162;0;439;0;442;5898;523;80136;3;352;188;36461;1267;172
187;85;415;0;429;6516;277;85353;4;351;179;39243;636;231
1501;80;201;0;435;6635;297;8344;4;280;17;39094;599;245
2899;40;125;0;429;6939;345;87921;1;335;197;38985;589;266
6211;40;125;0;429;649;444;87921;1;335;197;3969;598;229
795;60;169;0;411;6579;359;107103;4;411;183;37078;549;241
7244;60;169;0;411;5884;185;107103;4;411;183;39233;779;186
1709;90;202;0;41;6728;361;121265;5;187;17;38446;45;301
4301;80;191;0;413;5663;219;105857;4;334;22;3828;805;182
10659;80;191;0;413;5936;195;105857;4;334;22;37604;557;206
898296;0;181;1;77;6212;974;21222;24;666;202;37773;176;178
38497;0;181;1;77;6395;91;25052;24;666;202;39134;1327;217
520177;0;181;1;77;6127;834;27227;24;666;202;39543;1148;227
426131;0;181;0;77;6112;813;25091;24;666;202;39074;1267;226
454192;0;181;0;77;6398;88;25182;24;666;202;37456;779;25
383684;0;181;0;77;6251;911;22955;24;666;202;35065;1419;199
367822;0;181;0;77;5362;962;21036;24;666;202;38079;1019;208
422239;0;181;1;77;5803;89;19047;24;666;202;35304;1464;168
347428;0;181;1;718;878;829;19047;24;666;202;35455;529;219
455587;0;181;0;718;3561;879;16132;24;666;202;3547;712;275
369695;0;181;0;718;4963;914;17523;24;666;202;31603;14;219
135222;0;181;0;631;3863;100;15106;24;666;202;13142;1333;231
489822;0;181;0;631;497;100;13325;24;666;202;37552;326;50
566998;0;181;1;631;6683;968;13567;24;666;202;37533;373;50
653876;0;181;1;631;7016;975;12024;24;666;202;39205;296;50
92323;0;181;0;631;6216;100;11691;24;666;202;36615;953;50
826725;0;181;1;668;5875;896;11296;24;666;202;34788;888;50
111081;0;181;0;668;4906;100;11742;24;666;202;3969;3477;138
184982;0;181;0;668;4138;100;1137;24;666;202;3969;3797;138
196091;0;181;0;671;7313;979;13163;24;666;202;3969;1344;15
15288;0;181;0;671;6649;933;13449;24;666;202;36302;2324;139
982349;0;181;0;671;6794;988;1358;24;666;202;3969;2124;133
236482;0;181;0;671;638;962;13861;24;666;202;3969;2369;131
178667;0;181;0;671;6223;100;13861;24;666;202;39374;2178;102
889762;0;181;0;671;6968;919;14165;24;666;202;3969;1721;104
158744;0;181;0;671;6545;991;15192;24;666;202;3969;2108;109
918702;0;181;0;7;5536;100;15804;24;666;202;3969;236;113
799248;0;181;0;7;552;100;15331;24;666;202;3969;2456;123
200849;0;181;0;7;4368;912;14395;24;666;202;28583;3063;88
168118;0;181;0;7;5277;981;14261;24;666;202;3969;3081;72
243938;0;181;0;7;4652;100;14672;24;666;202;3969;2828;105
225971;0;181;0;7;5;895;15184;24;666;202;3969;3199;74
143337;0;181;0;7;488;100;15895;24;666;202;37292;3062;102
815174;0;181;0;7;539;989;17281;24;666;202;3969;2085;115
696215;0;181;0;7;5713;97;19265;24;666;202;39443;1711;151
529305;0;181;0;7;6051;825;21678;24;666;202;37838;1876;232
115779;0;181;0;7;5036;97;177;24;666;202;3969;2568;97
864476;0;181;0;693;6193;926;17912;24;666;202;3969;1517;138
133598;0;181;0;693;5887;947;17821;24;666;202;3969;1635;127
871675;0;181;0;693;6471;988;17257;24;666;202;39198;1712;131
587205;0;181;0;693;6405;96;16768;24;666;202;3969;1937;125
767202;0;181;0;693;5747;989;16334;24;666;202;3931;1992;85
383518;0;181;0;693;5453;100;14896;24;666;202;3969;3059;5
991655;0;181;0;693;5852;778;15004;24;666;202;33816;2997;63
250461;0;181;0;693;5987;100;15888;24;666;202;3969;2677;56
142362;0;181;0;693;6343;100;15741;24;666;202;3969;2032;72
959571;0;181;0;693;6404;100;1639;24;666;202;37611;2031;121
248017;0;181;0;693;5349;96;17028;24;666;202;3969;1977;83
415292;0;181;0;693;5531;854;16074;24;666;202;32946;2738;85
679208;0;181;0;693;5683;100;14254;24;666;202;38497;2298;5
207162;0;181;0;659;4138;100;11781;24;666;202;37022;2334;119
119511;0;181;0;659;5608;100;12852;24;666;202;33209;1213;279
740389;0;181;0;597;5617;979;14547;24;666;202;31464;264;172
144383;0;181;0;597;6852;100;14655;24;666;202;17936;1978;275
511358;0;181;0;597;5757;100;1413;24;666;202;26;1011;15
140507;0;181;0;597;6657;100;15275;24;666;202;3505;2122;172
18811;0;181;0;597;4628;100;15539;24;666;202;2879;3437;179
286558;0;181;0;597;5155;100;15894;24;666;202;21097;2008;163
457461;0;181;0;693;4519;100;16582;24;666;202;8827;3698;7
180846;0;181;0;679;6434;100;18347;24;666;202;2725;2905;72
108342;0;181;0;679;6782;908;18195;24;666;202;2157;2579;75
259406;0;181;0;679;5304;891;16475;24;666;202;12736;2664;104
735341;0;181;0;679;5957;100;18026;24;666;202;1645;2062;88
118123;0;181;0;718;6824;765;1794;24;666;202;4845;2274;84
110874;0;181;0;718;6411;100;18589;24;666;202;31875;1502;167
702259;0;181;0;718;6006;953;18746;24;666;202;31998;157;142
120482;0;181;0;614;5648;876;19512;24;666;202;29155;141;208
705042;0;181;0;614;6103;851;20218;24;666;202;252;2329;134
879212;0;181;0;584;5565;706;20635;24;666;202;365;1716;117
158603;0;181;0;679;5896;954;19096;24;666;202;768;2439;83
122472;0;181;0;584;5837;597;19976;24;666;202;2465;1569;102
376619;0;181;0;679;6202;787;18629;24;666;202;1882;1452;109
